,Open,High,Low,Close,Volume,Daily Range
2024-07-10,887.4,890.27,880.7,884.31,1755823,9.569999999999936
2024-07-11,890.76,890.76,846.52,846.59,6021054,44.24000000000001
2024-07-12,849.89,850.0,838.38,842.9,3288384,11.620000000000005
2024-07-15,846.86,857.8999,844.67,848.73,2064036,13.229900000000043
2024-07-16,847.8,851.235,841.34,850.77,1687592,9.894999999999982
2024-07-17,848.01,849.95,842.65,846.28,1783079,7.300000000000068
2024-07-18,849.43,855.3,825.11,839.37,2338477,30.18999999999994
2024-07-19,836.51,848.88,835.56,838.13,1984385,13.32000000000005
2024-07-22,845.75,849.59,838.6,847.42,1920228,10.990000000000009
2024-07-23,848.9,854.5799,845.5786,852.11,1744123,9.001299999999901
2024-07-24,844.6,846.0,829.5,830.82,2511321,16.5
2024-07-25,835.79,836.65,814.28,815.95,2183740,22.370000000000005
2024-07-26,818.0,822.28,809.01,817.6,1441455,13.269999999999982
2024-07-29,822.56,823.74,814.09,815.56,1320420,9.649999999999977
2024-07-30,818.0,822.0,803.28,810.03,2017248,18.720000000000027
2024-07-31,820.42,825.48,811.27,822.0,2135049,14.210000000000036
2024-08-01,818.55,824.17,809.68,816.89,1861405,14.490000000000009
2024-08-02,816.2,830.285,805.0101,822.08,2598467,25.274900000000002
2024-08-05,798.0,810.82,793.0,801.83,2820885,17.82000000000005
2024-08-06,805.06,833.09,805.06,816.88,2476255,28.030000000000086
2024-08-07,824.11,833.83,809.26,810.3,1702040,24.57000000000005
2024-08-08,821.5,842.76,820.45,839.43,2345030,22.309999999999945
2024-08-09,838.5,857.771,837.63,854.93,1710588,20.140999999999963
2024-08-12,857.25,870.25,852.4,863.57,1748173,17.850000000000023
2024-08-13,864.92,868.05,856.16,864.82,1484055,11.889999999999986
2024-08-14,864.87,866.7327,858.5,862.71,1341493,8.232700000000023
2024-08-15,872.87,880.325,869.0,877.35,1923809,11.325000000000045
2024-08-16,877.35,877.35,868.62,870.59,1516332,8.730000000000018
2024-08-19,870.59,873.63,868.7,872.35,1318382,4.92999999999995
2024-08-20,872.0,876.755,871.17,876.2,1104595,5.585000000000036
2024-08-21,880.74,891.12,877.22,881.42,1465505,13.899999999999977
2024-08-22,882.3,884.0,873.18,877.56,1440919,10.82000000000005
2024-08-23,882.49,884.556,871.6684,879.21,1305753,12.88760000000002
2024-08-26,883.17,893.2499,881.4411,892.51,1737024,11.80880000000002
2024-08-27,892.69,918.928,887.07,908.9,2098899,31.857999999999947
2024-08-28,910.96,912.22,881.655,888.05,1668378,30.565000000000055
2024-08-29,891.0,900.46,885.17,886.63,1709893,15.290000000000077
2024-08-30,890.5,896.3299,883.1,892.38,1933485,13.22989999999993
2024-09-03,896.68,896.89,874.44,878.57,1784179,22.449999999999932
2024-09-04,877.45,891.755,876.5866,890.02,1423134,15.16840000000002
2024-09-05,888.63,888.63,868.7,885.98,1998837,19.92999999999995
2024-09-06,891.261,893.2,871.0,876.68,2074604,22.200000000000045
2024-09-09,884.74,898.8316,881.7,896.49,1953977,17.131599999999935
2024-09-10,892.6,900.69,887.5201,894.29,1360818,13.169900000000098
2024-09-11,895.0,902.0,877.87,900.4,1796084,24.129999999999995
2024-09-12,900.42,915.7,896.51,915.03,1868674,19.190000000000055
2024-09-13,913.63,923.8299,909.36,916.0,1327509,14.469899999999939
2024-09-16,922.0,922.63,905.35,907.87,1661046,17.279999999999973
2024-09-17,908.43,908.6,895.45,897.27,1386963,13.149999999999977
2024-09-18,899.94,904.98,890.9497,892.52,1338163,14.030300000000011
2024-09-19,904.26,905.13,895.5001,900.74,1747482,9.62990000000002
2024-09-20,901.57,907.8073,895.7,906.98,4658159,12.10730000000001
2024-09-23,906.98,919.5,900.78,917.08,1697643,18.720000000000027
2024-09-24,912.01,912.77,897.53,901.54,2432552,15.240000000000009
2024-09-25,903.0,910.36,901.125,908.42,1728137,9.235000000000014
2024-09-26,905.3,909.2399,898.13,901.44,2738553,11.109900000000039
2024-09-27,893.26,893.49,874.0,885.62,3459054,19.49000000000001
2024-09-30,891.37,910.0,881.41,886.52,2146353,28.590000000000032
2024-10-01,885.25,886.99,872.75,877.38,1836683,14.240000000000009
2024-10-02,874.65,881.23,867.16,878.53,1317146,14.07000000000005
2024-10-03,874.44,881.18,872.665,875.67,1451942,8.514999999999986
2024-10-04,877.99,884.29,875.67,883.11,1517311,8.620000000000005
2024-10-07,881.6,887.71,872.3264,873.59,1963158,15.383600000000001
2024-10-08,876.7,891.305,876.7,890.42,1697910,14.604999999999905
2024-10-09,892.24,910.0,887.87,909.1,1956453,22.129999999999995
2024-10-10,910.0,910.0,891.84,893.63,1765785,18.159999999999968
2024-10-11,894.5,894.5,885.5001,889.03,1527294,8.999900000000025
2024-10-14,892.45,895.1716,886.26,889.76,1431497,8.911600000000021
2024-10-15,892.09,900.65,889.55,894.61,1613905,11.100000000000023
2024-10-16,889.92,891.325,879.5001,887.38,1475495,11.82490000000007
2024-10-17,891.555,895.33,882.8,885.29,1321463,12.530000000000086
2024-10-18,885.76,890.61,883.75,889.56,1654015,6.860000000000014
2024-10-21,889.0,891.4,883.7,886.77,1184880,7.699999999999932
2024-10-22,890.98,894.89,884.31,893.49,1189653,10.580000000000041
2024-10-23,896.02,905.68,894.99,899.17,2193473,10.68999999999994
2024-10-24,901.5,903.5,888.26,893.42,1649565,15.240000000000009
2024-10-25,895.65,901.6191,890.0,891.22,1425842,11.619100000000003
2024-10-28,895.99,895.99,890.0,890.96,912507,5.990000000000009
2024-10-29,890.0,891.17,874.09,886.99,1361681,17.079999999999927
2024-10-30,886.38,886.5699,877.37,879.09,1412209,9.199899999999957
2024-10-31,877.2,877.65,868.65,874.18,1771876,9.0
2024-11-01,874.27,879.4108,867.3401,877.31,1625161,12.070699999999988
2024-11-04,881.34,887.0,876.73,886.07,1577144,10.269999999999982
2024-11-05,888.0,895.58,886.7975,890.17,1622264,8.782500000000027
2024-11-06,898.28,899.9,886.28,899.25,2437420,13.620000000000005
2024-11-07,898.62,919.48,894.37,913.93,2145454,25.110000000000014
2024-11-08,914.0,962.0,913.75,943.8,3277090,48.25
2024-11-11,943.8,951.28,931.435,932.88,2181815,19.845000000000027
2024-11-12,935.95,939.56,927.0,932.38,1691807,12.559999999999945
2024-11-13,930.0,937.5899,923.2,933.73,1757645,14.389899999999898
2024-11-14,927.0,931.15,922.1715,923.89,1859919,8.97849999999994
2024-11-15,917.74,920.5499,905.5613,907.07,2269945,14.98860000000002
2024-11-18,910.64,925.94,907.1069,919.51,1797786,18.83310000000006
2024-11-19,928.0,934.0,916.36,930.15,1690536,17.639999999999986
2024-11-20,925.08,928.8,916.5,928.08,1452130,12.299999999999955
2024-11-21,935.0,958.4899,930.0,955.65,2320548,28.489900000000034
2024-11-22,962.74,976.3,958.5201,964.01,2078740,17.779899999999998
2024-11-25,975.0,975.0,949.69,960.89,3240929,25.309999999999945
2024-11-26,964.0,974.37,960.89,971.5,1438037,13.480000000000018
2024-11-27,971.46,972.29,958.64,961.55,1497375,13.649999999999977
